Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
CARZ,First Trust NASDAQ Global Auto Index Fund,G,N,N,100
CASH,"Meta Financial Group, Inc. - Common Stock",G,N,N,100
CASM,"CAS Medical Systems, Inc. - Common Stock",G,N,N,100
CASS,"Cass Information Systems, Inc - Common Stock",Q,N,N,100
CASY,"Caseys General Stores, Inc. - Common Stock",Q,N,N,100
CATM,"Cardtronics, Inc. - Common Stock",Q,N,N,100
CATY,Cathay General Bancorp - Common Stock,Q,N,N,100
CAVM,"Cavium, Inc. - Common Stock",Q,N,N,100
CBAK,"China BAK Battery, Inc. - Common Stock",G,N,D,100
CBAN,"Colony Bankcorp, Inc. - Common Stock",G,N,N,100
CBEY,"Cbeyond, Inc. - Common Stock",Q,N,N,100
CBF,Capital Bank Financial Corp. - Class A Common Stock,Q,N,N,100
CBIN,"Community Bank Shares of Indiana, Inc. - Common Stock",S,N,N,100
CBLI,"Cleveland BioLabs, Inc. - Common Stock",S,N,N,100
CBMX,CombiMatrix Corporation - Common Stock,S,N,N,100
CBMXW,CombiMatrix Corporation - Warrants 5/01/2014,S,N,N,100
CBNJ,"Cape Bancorp, Inc. - Common Stock",Q,N,N,100
CBNK,"Chicopee Bancorp, Inc. - Common Stock",G,N,N,100
CBOE,"CBOE Holdings, Inc. - Common Stock",Q,N,N,100
CBPO,"China Biologic Products, Inc. - Common Stock",Q,N,N,100
CBRL,"Cracker Barrel Old Country Store, Inc. - Common Stock",Q,N,N,100
CBRX,"Columbia Laboratories, Inc. - Common Stock",S,N,N,100
CBSH,"Commerce Bancshares, Inc. - Common Stock",Q,N,N,100
CBST,"Cubist Pharmaceuticals, Inc. - Common Stock",Q,N,N,100
CBSTZ,"Cubist Pharmaceuticals, Inc. - Contingent Value Right",Q,N,N,100
CCBG,Capital City Bank Group - Common Stock,Q,N,N,100
CCCL,"China Ceramics Co., Ltd. - Common Stock",G,N,N,100
CCCR,"China Commercial Credit, Inc. - Common Stock",S,N,N,100
CCIH,ChinaCache International Holdings Ltd. - American Depositary Shares,G,N,N,100
CCIX,"Coleman Cable, Inc. - Common Stock",G,N,N,100
CCMP,Cabot Microelectronics Corporation - Common Stock,Q,N,N,100
CCNE,CNB Financial Corporation - Common Stock,Q,N,N,100
CCOI,"Cogent Communications Group, Inc. - Common Stock",Q,N,N,100
CCRN,"Cross Country Healthcare, Inc. - Common Stock",Q,N,N,100
CCUR,Concurrent Computer Corporation - Common Stock,G,N,N,100
CCXI,"ChemoCentryx, Inc. - Common Stock",Q,N,N,100
CDNS,"Cadence Design Systems, Inc. - Common Stock",Q,N,N,100
CDTI,"Clean Diesel Technologies, Inc. - Common Stock",S,N,N,100
CDW,CDW Corporation - Common Stock,Q,N,N,100
CDXS,"Codexis, Inc. - Common Stock",Q,N,N,100
CDZI,"Cadiz, Inc. - Common Stock",G,N,N,100
CECE,CECO Environmental Corp. - Common Stock,G,N,N,100
CECO,Career Education Corporation - Common Stock,Q,N,N,100
CEDU,"ChinaEdu Corporation - American Depositary Shares, each representing three Ordinary Shares",G,N,N,100
CELG,Celgene Corporation - Common Stock,Q,N,N,100
CELGZ,Celgene Corporation - Contingent Value Right,G,N,N,100
CEMI,"Chembio Diagnostics, Inc. - Common Stock",S,N,N,100
CEMP,"Cempra, Inc. - Common Stock",G,N,N,100
CENT,Central Garden & Pet Company - Common Stock,Q,N,N,100
CENTA,Central Garden & Pet Company - Class A Common Stock Nonvoting,Q,N,N,100
CENX,Century Aluminum Company - Common Stock,Q,N,N,100
CERE,"Ceres, Inc. - Common Stock",G,N,N,100
CERN,Cerner Corporation - Common Stock,Q,N,N,100
CERS,Cerus Corporation - Common Stock,G,N,N,100
CETV,Central European Media Enterprises Ltd. - Class A Common Stock,Q,N,N,100
CEVA,"CEVA, Inc. - Common Stock",Q,N,N,100
CFBK,Central Federal Corporation - Common Stock,S,N,N,100
CFFI,C&F Financial Corporation - Common Stock,Q,N,N,100
CFFN,"Capitol Federal Financial, Inc. - Common Stock",Q,N,N,100
CFNB,California First National Bancorp - Common Stock,G,N,N,100
CFNL,Cardinal Financial Corporation - Common Stock,Q,N,N,100
CG,The Carlyle Group L.P. - Common Units,Q,N,N,100
CGEN,Compugen Ltd. - Ordinary Shares,S,N,N,100
CGIX,"Cancer Genetics, Inc. - Common Stock",S,N,N,100
CGNX,Cognex Corporation - Common Stock,Q,N,N,100
CGO,Calamos Global Total Return Fund - Common Stock,Q,N,N,100
CHCI,"Comstock Holding Companies, Inc. - Class A Common Stock",S,N,N,100
CHCO,City Holding Company - Common Stock,Q,N,N,100
CHDN,"Churchill Downs, Incorporated - Common Stock",Q,N,N,100
CHDX,"Chindex International, Inc. - Common Stock",Q,N,N,100
CHEF,"The Chefs' Warehouse, Inc. - Common Stock",Q,N,N,100
CHEV,Cheviot Financial Corp - Common Stock,S,N,N,100
CHFC,Chemical Financial Corporation - Common Stock,Q,N,N,100
CHFN,Charter Financial Corp. - Common Stock,S,N,N,100
CHI,Calamos Convertible Opportunities and Income Fund - Common Stock,Q,N,N,100
CHKE,Cherokee Inc. - Common Stock,Q,N,N,100
CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,Q,N,N,100
CHLN,"China Housing & Land Development, Inc. - Common Stock",S,N,N,100
CHMG,Chemung Financial Corp - Common Stock,G,N,N,100
CHNR,"China Natural Resources, Inc. - Common Stock",S,N,N,100
CHOP,China Gerui Advanced Materials Group Limited - Ordinary Shares,Q,N,N,100
CHRM,Charm Communications Inc. - American Depositary Shares representing 2 Class A Ordinary Shares,G,N,N,100
CHRW,"C.H. Robinson Worldwide, Inc. - Common Stock",Q,N,N,100
CHSCO,CHS Inc - Class B Cumulative Redeemable Preferred Stock,Q,N,N,100
CHSCP,CHS Inc - 8%  Cumulative Redeemable Preferred Stock,Q,N,N,100
CHTP,"Chelsea Therapeutics International, Ltd. - Common Stock",S,N,N,100
CHTR,"Charter Communications, Inc. - Class A Common Stock",Q,N,N,100
CHUY,"Chuy's Holdings, Inc. - Common Stock",Q,N,N,100
CHW,Calamos Global Dynamic Income Fund - Common Stock,Q,N,N,100
CHXF,WisdomTree China Dividend Ex-Financials Fund,G,N,N,100
CHY,Calamos Convertible and High Income Fund - Common Stock,Q,N,N,100
CHYR,ChyronHego Corporation - Common Stock,G,N,N,100
CIDM,Cinedigm Corp - Class A Common Stock,G,N,N,100
CIEN,Ciena Corporation - Common Stock,Q,N,N,100
CIFC,CIFC Corp. - Common Stock,S,N,N,100
CIMT,"Cimatron, Limited - Ordinary Shares",S,N,N,100
CINF,Cincinnati Financial Corporation - Common Stock,Q,N,N,100
CISAA,CIS Acquisition Ltd. - Class A Shares,S,N,N,100
CISAU,CIS Acquisition Ltd. - Unit,S,N,N,100
CISAW,CIS Acquisition Ltd. - Warrant,S,N,N,100
CISG,"CNinsure Inc. - American depositary shares, each representing 20 ordinary shares",Q,N,N,100
CITZ,"CFS Bancorp, Inc. - Common Stock",G,N,N,100
CIZN,Citizens Holding Company - Common Stock,G,N,N,100
CJJD,"China Jo-Jo Drugstores, Inc. - Common Stock",S,N,D,100
CKEC,"Carmike Cinemas, Inc. - Common Stock",Q,N,N,100
CKSW,ClickSoftware Technologies Ltd. - Ordinary Shares,Q,N,N,100
CLAC,Capitol Acquisition Corp. II - Common Stock,S,N,N,100
CLACU,Capitol Acquisition Corp. II - Unit,S,N,N,100
CLACW,Capitol Acquisition Corp. II - Warrant,S,N,N,100
CLBH,Carolina Bank Holdings Inc. - Common Stock,G,N,N,100
CLCT,"Collectors Universe, Inc. - Common Stock",G,N,N,100
CLDX,"Celldex Therapeutics, Inc. - Common Stock",Q,N,N,100
CLFD,"Clearfield, Inc. - Common Stock",G,N,N,100
CLIR,ClearSign Combustion Corporation - Common Stock,S,N,N,100
CLMS,"Calamos Asset Management, Inc. - Class A Common Stock",Q,N,N,100
CLMT,"Calumet Specialty Products Partners, L.P. - Common units representing limited partner interests",Q,N,N,100
CLNE,Clean Energy Fuels Corp. - Common Stock,Q,N,N,100
CLNT,"Cleantech Solutions International, Inc. - Common Stock",S,N,N,100
CLRO,"ClearOne, Inc. - Common Stock",S,N,N,100
CLRX,"CollabRx, Inc. - Common Stock",S,N,N,100
CLSN,Celsion Corporation - Common Stock,S,N,N,100
CLUB,"Town Sports International Holdings, Inc. - Common Stock",G,N,N,100
CLVS,"Clovis Oncology, Inc. - Common Stock",Q,N,N,100
CLWT,Euro Tech Holdings Company Limited - Ordinary Shares,S,N,N,100
CMCO,Columbus McKinnon Corporation - Common Stock,Q,N,N,100
CMCSA,Comcast Corporation - Class A Common Stock,Q,N,N,100
CMCSK,Comcast Corporation - Class A Special Common Stock,Q,N,N,100
CME,CME Group Inc. - Class A Common Stock,Q,N,N,100
CMGE,China Mobile Games and Entertainment Group Limited - American Depositary Shares,G,N,N,100
CMLS,Cumulus Media Inc. - Common Stock,Q,N,N,100
CMRX,"Chimerix, Inc. - Common Stock",G,N,N,100
CMSB,"CMS Bancorp, Inc. - common stock",S,N,N,100
CMTL,Comtech Telecommunications Corp. - Common Stock,Q,N,N,100
CNAT,Conatus Pharmaceuticals Inc. - Common Stock,G,N,N,100
CNBC,"Center Bancorp, Inc. - Common Stock",Q,N,N,100
CNBKA,"Century Bancorp, Inc. - Class A Common Stock",Q,N,N,100
CNDO,"Coronado Biosciences, Inc. - Common Stock",S,N,N,100
CNET,"ChinaNet Online Holdings, Inc. - Common Stock",S,N,D,100
CNIT,"China Information Technology, Inc. - Ordinary Shares",Q,N,N,100
CNMD,CONMED Corporation - Common Stock,Q,N,N,100
CNOB,"ConnectOne Bancorp, Inc. - Common Stock",G,N,N,100
CNQR,"Concur Technologies, Inc. - Common Stock",Q,N,N,100
CNSI,Comverse Inc. - Common Stock,G,N,N,100
CNSL,"Consolidated Communications Holdings, Inc. - Common Stock",Q,N,N,100
CNTF,"China TechFaith Wireless Communication Technology Limited - American Depositary Shares, each representing 15 ordinary shares",Q,N,N,100
CNTY,"Century Casinos, Inc. - Common Stock",S,N,N,100
CNYD,"China Yida Holding, Co. - Common Stock",S,N,N,100
COA,Coastal Contacts Inc - Ordinary Shares,S,N,N,100
COB,CommunityOne Bancorp - Common Stock,S,N,N,100
COBK,"Colonial Financial Services, Inc. - Common Stock",G,N,N,100
COBR,Cobra Electronics Corporation - Common Stock,G,N,N,100
COBZ,CoBiz Financial Inc. - Common Stock,Q,N,N,100
COCO,"Corinthian Colleges, Inc. - Common Stock",Q,N,N,100
COGO,"Cogo Group, Inc. - Common Stock",Q,N,N,100
COHR,"Coherent, Inc. - Common Stock",Q,N,N,100
COHU,"Cohu, Inc. - Common Stock",Q,N,N,100
COKE,Coca-Cola Bottling Co. Consolidated - Common Stock,Q,N,N,100
COLB,"Columbia Banking System, Inc. - Common Stock",Q,N,N,100
COLM,Columbia Sportswear Company - Common Stock,Q,N,N,100
COMM,"CommScope Holding Company, Inc. - Common Stock",Q,N,N,100
CONE,CyrusOne Inc - Common Stock,Q,N,N,100
CONN,"Conn's, Inc. - Common Stock",Q,N,N,100
COOL,Majesco Entertainment Company - Common Stock,S,N,D,100
CORE,"Core-Mark Holding Company, Inc. - Common Stock",Q,N,N,100
CORT,Corcept Therapeutics Incorporated - Common Stock,S,N,N,100
COSI,"Cosi, Inc. - Common Stock",S,N,N,100
COST,Costco Wholesale Corporation - Common Stock,Q,N,N,100
COVS,Covisint Corporation - Common Stock,Q,N,N,100
COWN,"Cowen Group, Inc. - Class A Common Stock",Q,N,N,100
CPAH,CounterPath Corporation - Common Stock,S,N,N,100
CPGI,"China Shengda Packaging Group, Inc. - Common Stock",G,N,N,100
CPHC,Canterbury Park Holding Corporation - Common Stock,G,N,N,100
CPHD,CEPHEID - Common Stock,Q,N,N,100
CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,Q,N,N,100
CPLA,Capella Education Company - Common Stock,Q,N,N,100
CPLP,Capital Product Partners L.P. - common units representing limited partner interests,Q,N,N,100
CPRT,"Copart, Inc. - Common Stock",Q,N,N,100
CPRX,"Catalyst Pharmaceutical Partners, Inc. - Common Stock",S,N,N,100
CPSI,"Computer Programs and Systems, Inc. - Common Stock",Q,N,N,100
CPSL,"China Precision Steel, Inc. - Common Stock",S,N,D,100
CPSS,"Consumer Portfolio Services, Inc. - Common Stock",G,N,N,100
CPST,Capstone Turbine Corporation - Common Stock,G,N,N,100
CPTA,Capitala Finance Corp. - Common Stock,Q,N,N,100
CPWR,Compuware Corporation - Common Stock,Q,N,N,100
CRAI,"CRA International,Inc. - Common Stock",Q,N,N,100
CRAY,Cray Inc - Common Stock,Q,N,N,100
CRDC,"Cardica, Inc. - Common Stock",G,N,N,100
CRDS,"Crossroads Systems, Inc. - Common Stock",S,N,D,100
CREE,"Cree, Inc. - Common Stock",Q,N,N,100
CREG,China Recycling Energy Corporation - Common Stock,G,N,N,100
CRESW,Cresud S.A.C.I.F. y A. - Warrants 5/22/2015,Q,N,N,100
CRESY,"Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock",Q,N,N,100
CRIS,"Curis, Inc. - Common Stock",G,N,N,100
CRMB,"Crumbs Bake Shop, Inc. - Common Stock",S,N,N,100
CRMBU,"Crumbs Bake Shop, Inc. - Units",S,N,N,100
CRMBW,"Crumbs Bake Shop, Inc. - Warrants",S,N,N,100
CRME,Cardiome Pharma Corporation - Ordinary Shares (Canada),S,N,N,100
CRMT,"America's Car-Mart, Inc. - Common Stock",Q,N,N,100
CRNT,Ceragon Networks Ltd. - Ordinary Shares,Q,N,N,100
CROX,"Crocs, Inc. - Common Stock",Q,N,N,100
CRRC,Courier Corporation - Common Stock,Q,N,N,100
CRRS,"Corporate Resource Services, Inc. - Common Stock",S,N,N,100
CRTO,Criteo S.A. - American Depositary Shares,Q,N,N,100
CRTX,Cornerstone Therapeutics Inc. - Common Stock,S,N,N,100
CRUS,"Cirrus Logic, Inc. - Common Stock",Q,N,N,100
CRVL,CorVel Corp. - Common Stock,Q,N,N,100
CRWN,"Crown Media Holdings, Inc. - Class A Common Stock",G,N,N,100
CRWS,"Crown Crafts, Inc. - Common Stock",S,N,N,100
CRZO,"Carrizo Oil & Gas, Inc. - Common Stock",Q,N,N,100
CSBK,"Clifton Savings Bancorp, Inc. - Common Stock",Q,N,N,100
CSCD,"Cascade Microtech, Inc. - Common Stock",G,N,N,100
CSCO,"Cisco Systems, Inc. - Common Stock",Q,N,N,100
CSFL,"CenterState Banks, Inc. - Common Stock",Q,N,N,100
CSGP,"CoStar Group, Inc. - Common Stock",Q,N,N,100
CSGS,"CSG Systems International, Inc. - Common Stock",Q,N,N,100
CSII,"Cardiovascular Systems, Inc. - Common Stock",G,N,N,100
CSIQ,Canadian Solar Inc. - common shares,Q,N,N,100
CSOD,"Cornerstone OnDemand, Inc. - Common Stock",Q,N,N,100
CSPI,CSP Inc. - Common Stock,G,N,N,100
CSQ,Calamos Strategic Total Return Fund - Common Stock,Q,N,N,100
CSRE,CSR plc - ADS,Q,N,N,100
CSTE,CaesarStone Sdot-Yam Ltd. - Ordinary Shares,Q,N,N,100
CSUN,"China Sunergy Co., Ltd. - American Depositary Shares, each representing 18 ordinary shares",Q,N,N,100
CSWC,Capital Southwest Corporation - Common Stock,Q,N,N,100
CTAS,Cintas Corporation - Common Stock,Q,N,N,100
CTBI,"Community Trust Bancorp, Inc. - Common Stock",Q,N,N,100
CTCH,Commtouch Software Ltd. - Ordinary Shares,S,N,N,100
CTCM,"CTC Media, Inc. - Common Stock",Q,N,N,100
CTCT,"Constant Contact, Inc. - Common Stock",Q,N,N,100
CTG,"Computer Task Group, Incorporated - Common Stock",Q,N,N,100
CTHR,Charles & Colvard Ltd - Common Stock,Q,N,N,100
CTIB,CTI Industries Corporation - Common Stock,S,N,N,100
CTIC,"Cell Therapeutics, Inc. - Common Stock",S,N,N,100
CTRL,Control4 Corporation - Common Stock,Q,N,N,100
CTRN,"Citi Trends, Inc. - Common Stock",Q,N,N,100
CTRP,"Ctrip.com International, Ltd. - American Depositary Shares",Q,N,N,100
CTRX,Catamaran Corporation - Common Stock,Q,N,N,100
CTSH,Cognizant Technology Solutions Corporation - Class A Common Stock,Q,N,N,100
CTWS,"Connecticut Water Service, Inc. - Common Stock",Q,N,N,100
CTXS,"Citrix Systems, Inc. - Common Stock",Q,N,N,100
CU,First Trust ISE Global Copper Index Fund,G,N,N,100
CUBA,"The Herzfeld Caribbean Basin Fund, Inc. - Closed End FUnd",S,N,N,100
CUBI,"Customers Bancorp, Inc - Common Stock",Q,N,N,100
CUBIL,"Customers Bancorp, Inc - Senior Notes due 2018",Q,N,N,100
CUI,"CUI Global, Inc. - Common Stock",S,N,N,100
CUNB,CU Bancorp (CA) - Common Stock,S,N,N,100
CUTR,"Cutera, Inc. - Common Stock",Q,N,N,100
CVBF,CVB Financial Corporation - Common Stock,Q,N,N,100
CVCO,"Cavco Industries, Inc. - Common Stock",Q,N,N,100
CVCY,Central Valley Community Bancorp - Common Stock,S,N,N,100
CVGI,"Commercial Vehicle Group, Inc. - Common Stock",Q,N,N,100
CVGW,"Calavo Growers, Inc. - Common Stock",Q,N,N,100
CVLT,"CommVault Systems, Inc. - Common Stock",Q,N,N,100
CVLY,"Codorus Valley Bancorp, Inc - Common Stock",G,N,N,100
CVTI,"Covenant Transportation Group, Inc. - Class A Common Stock",Q,N,N,100
CVV,CVD Equipment Corporation - Common Stock,S,N,N,100
CWBC,Community West Bancshares - Common Stock,G,N,N,100
CWCO,Consolidated Water Co. Ltd. - Ordinary Shares,Q,N,N,100
CWEI,"Clayton Williams Energy, Inc. - Common Stock",Q,N,N,100
CWST,"Casella Waste Systems, Inc. - Class A Common Stock",Q,N,N,100
CWTR,"Coldwater Creek, Inc. - Common Stock",Q,N,N,100
CXDC,China XD Plastics Company Limited - Common Stock,G,N,N,100
CY,Cypress Semiconductor Corporation - Common Stock,Q,N,N,100
CYAN,Cyanotech Corporation - Common Stock,S,N,N,100
CYBE,CyberOptics Corporation - Common Stock,G,N,N,100
CYBX,"Cyberonics, Inc. - Common Stock",Q,N,N,100
CYCC,"Cyclacel Pharmaceuticals, Inc. - Common Stock",G,N,N,100
CYCCP,"Cyclacel Pharmaceuticals, Inc. - 6% Convertible Preferred Stock",S,N,N,100
CYNO,"Cynosure, Inc. - Class A Common Stock",Q,N,N,100
CYOU,"Changyou.com Limited - American Depositary Shares, each representing two Class A ordinary shares",Q,N,N,100
CYTK,"Cytokinetics, Incorporated - Common Stock",S,N,N,100
CYTR,CytRx Corporation - Common Stock,S,N,N,100
CYTX,Cytori Therapeutics Inc - Common Stock,G,N,N,100
CYTXW,Cytori Therapeutics Inc - Warrants 09/13/2014,G,N,N,100
CZFC,Citizens First Corporation - Common Stock,G,N,N,100
CZNC,Citizens & Northern Corp - Common Stock,S,N,N,100
CZR,Caesars Entertainment Corporation - Common Stock,Q,N,N,100
CZWI,"Citizens Community Bancorp, Inc. - Common Stock",G,N,N,100
DAEG,Daegis Inc - Common Stock,S,N,N,100
DAIO,Data I/O Corporation - Common Stock,S,N,N,100
DAKT,"Daktronics, Inc. - Common Stock",Q,N,N,100
DARA,"DARA Biosciences, Inc. - Common Stock",S,N,D,100
DATE,Jiayuan.com International Ltd. - American Depositary Shares,Q,N,N,100
DAVE,"Famous Dave's of America, Inc. - Common Stock",Q,N,N,100
DBLE,Double Eagle Petroleum Company - Common Stock,Q,N,N,100
DBLEP,Double Eagle Petroleum Company - Series A Cumulative Preferred Stock,Q,N,N,100
DCIN,Digital Cinema Destinations Corp. - Class A Common Stock,S,N,N,100
DCIX,Diana Containerships Inc. - Common Shares,Q,N,N,100
DCOM,"Dime Community Bancshares, Inc. - Common Stock",Q,N,N,100
DCTH,"Delcath Systems, Inc. - Common Stock",S,N,D,100
DECK,Deckers Outdoor Corporation - Common Stock,Q,N,N,100
DENN,Denny's Corporation - Common Stock,S,N,N,100
DEPO,"Depomed, Inc. - Common Stock",Q,N,N,100
DEST,Destination Maternity Corporation - Common Stock,Q,N,N,100
DFRG,"Del Frisco's Restaurant Group, Inc. - Common Stock",Q,N,N,100
DFZ,R.G. Barry Corporation - Common Stock,Q,N,N,100
DGAS,"Delta Natural Gas Company, Inc. - Common Stock",Q,N,N,100
DGICA,"Donegal Group, Inc. - Class A Common Stock",Q,N,N,100
DGICB,"Donegal Group, Inc. - Class B Common Stock",Q,N,N,100
DGII,Digi International Inc. - Common Stock,Q,N,N,100
DGIT,"Digital Generation, Inc. - Common Stock",Q,N,N,100
DGLY,"Digital Ally, Inc. - Common Stock",S,N,N,100
DGRE,WisdomTree Emerging Markets Dividend Growth Fund,G,N,N,100
DGRS,WisdomTree U.S. SmallCap Dividend Growth Fund,G,N,N,100
DGRW,WisdomTree U.S. Dividend Growth Fund,G,N,N,100
DHIL,"Diamond Hill Investment Group, Inc. - Class A Common Stock",Q,N,N,100
DHRM,Dehaier Medical Systems Limited - Common Stock,S,N,N,100
DIOD,Diodes Incorporated - Common Stock,Q,N,N,100
DISCA,"Discovery Communications, Inc. - Series A Common Stock",Q,N,N,100
DISCB,"Discovery Communications, Inc. - Series B Common Stock",Q,N,N,100
DISCK,"Discovery Communications, Inc. - Series C Common Stock",Q,N,N,100
DISH,DISH Network Corporation - Class A Common Stock,Q,N,N,100
DJCO,Daily Journal Corp. (S.C.) - Common Stock,S,N,N,100
DLHC,DLH Holdings Corp. - Common Stock,S,N,N,100
DLIA,dELIA*s Inc. - Common Stock,G,N,N,100
DLLR,DFC Global Corp - Common Stock,Q,N,N,100
DLTR,"Dollar Tree, Inc. - Common Stock",Q,N,N,100
DMLP,"Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests",Q,N,N,100
DMND,"Diamond Foods, Inc. - Common Stock",Q,N,N,100
DMRC,Digimarc Corporation - Common Stock,G,N,N,100
DNBF,DNB Financial Corp - Common Stock,S,N,N,100
DNDN,Dendreon Corporation - Common Stock,Q,N,N,100
DNKN,"Dunkin' Brands Group, Inc. - Common Stock",Q,N,N,100
DORM,"Dorman Products, Inc. - Common Stock",Q,N,N,100
DOVR,"Dover Saddlery, Inc. - Common Stock",S,N,N,100
DRAD,Digirad Corporation - Common Stock,G,N,N,100
DRAM,Dataram Corporation - Common Stock,S,N,D,100
DRCO,Dynamics Research Corporation - Common Stock,G,N,N,100
DRIV,"Digital River, Inc. - Common Stock",Q,N,N,100
DRRX,DURECT Corporation - Common Stock,G,N,N,100
DRTX,"Durata Therapeutics, Inc. - Common Stock",G,N,N,100
DRWI,DragonWave Inc - Common Shares,Q,N,N,100
DRYS,DryShips Inc. - Common Stock,Q,N,N,100
DSCI,"Derma Sciences, Inc. - Common Stock",S,N,N,100
DSCO,"Discovery Laboratories, Inc. - Common Stock",S,N,N,100
DSGX,The Descartes Systems Group Inc. - Common Stock,Q,N,N,100
DSKX,"DS Healthcare Group, Inc. - Common Stock",S,N,N,100
DSPG,"DSP Group, Inc. - Common Stock",Q,N,N,100
DSWL,"Deswell Industries, Inc. - Common Shares",G,N,N,100
DTLK,Datalink Corporation - Common Stock,G,N,N,100
DTSI,"DTS, Inc. - Common Stock",Q,N,N,100
DTV,DIRECTV - Common Stock,Q,N,N,100
DVAX,Dynavax Technologies Corporation - Common Stock,S,N,N,100
DVCR,Diversicare Healthcare Services Inc. - Common Stock,S,N,N,100
DWA,"Dreamworks Animation SKG, Inc. - Class A Common Stock",Q,N,N,100
DWCH,Datawatch Corporation - Common Stock,S,N,N,100
DWSN,Dawson Geophysical Company - Common Stock,Q,N,N,100
DXCM,"DexCom, Inc. - Common Stock",Q,N,N,100
DXGE,WisdomTree Germany Hedged Equity Fund,G,N,N,100
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,G,N,N,100
DXLG,"Destination XL Group, Inc. - Common Stock",Q,N,N,100
DXM,"Dex Media, Inc. - Common Stock",Q,N,N,100
DXPE,"DXP Enterprises, Inc. - Common Stock",Q,N,N,100
DXPS,WisdomTree United Kingdom Hedged Equity Fund,G,N,N,100
DXYN,"The Dixie Group, Inc. - Common Stock",G,N,N,100
DYAX,Dyax Corp. - Common Stock,G,N,N,100
DYNT,Dynatronics Corporation - Common Stock,S,N,N,100
DYSL,Dynasil Corporation of America - Common Stock,S,N,D,100
EA,Electronic Arts Inc. - Common Stock,Q,N,N,100
EAC,Erickson Air-Crane Incorporated - Common Stock,G,N,N,100
EAGL,Silver Eagle Acquisition Corp. - Common Stock,S,N,N,100
EAGLU,Silver Eagle Acquisition Corp. - Unit,S,N,N,100
EAGLW,Silver Eagle Acquisition Corp. - Warrants,S,N,N,100
EBAY,eBay Inc. - Common Stock,Q,N,N,100
EBIX,"Ebix, Inc. - Common Stock",Q,N,N,100
EBMT,"Eagle Bancorp Montana, Inc. - Common Stock",G,N,N,100
EBSB,"Meridian Interstate Bancorp, Inc. - Common Stock",Q,N,N,100
EBTC,Enterprise Bancorp Inc - Common Stock,Q,N,N,100
ECHO,"Echo Global Logistics, Inc. - Common Stock",Q,N,N,100
ECOL,"US Ecology, Inc. - Common Stock",Q,N,N,100
ECPG,Encore Capital Group Inc - Common Stock,Q,N,N,100
ECTE,"Echo Therapeutics, Inc. - Common Stock",S,N,N,100
ECYT,"Endocyte, Inc. - Common Stock",Q,N,N,100
EDAP,"EDAP TMS S.A. - American Depositary Shares, each representing One Ordinary Share",G,N,N,100
EDGW,"Edgewater Technology, Inc. - Common Stock",G,N,N,100
EDMC,Education Management Corporation - Common Stock,Q,N,N,100
EDS,Exceed Company Ltd. - Common Stock,Q,N,N,100
EDUC,Educational Development Corporation - Common Stock,G,N,N,100
EEFT,"Euronet Worldwide, Inc. - Common Stock",Q,N,N,100
EEI,"Ecology and Environment, Inc. - Class A Common Stock",G,N,N,100
EEMA,iShares MSCI Emerging Markets Asia Index Fund,G,N,N,100
EEME,iShares MSCI Emerging Markets EMEA Index Fund,G,N,N,100
EEML,iShares MSCI Emerging Markets Latin America Index Fund,G,N,N,100
EFII,"Electronics for Imaging, Inc. - Common Stock",Q,N,N,100
EFSC,Enterprise Financial Services Corporation - Common Stock,Q,N,N,100
EFUT,eFuture Information Technology Inc. - Ordinary Shares,S,N,N,100
EGAN,eGain Corporation - Common Stock,S,N,N,100
EGBN,"Eagle Bancorp, Inc. - Common Stock",S,N,N,100
EGHT,8x8 Inc - Common Stock,Q,N,N,100
EGLE,Eagle Bulk Shipping Inc. - common stock,Q,N,N,100
EGOV,NIC Inc. - Common Stock,Q,N,N,100
EGRW,iShares MSCI Emerging Markets Growth Index Fund,G,N,N,100
EGT,Entertainment Gaming Asia Incorporated - Common Stock,S,N,N,100
EHTH,"eHealth, Inc. - Common Stock",Q,N,N,100
EIGI,"Endurance International Group Holdings, Inc. - Common Stock",Q,N,N,100
EIHI,"Eastern Insurance Holdings, Inc. - common stock, no par value",Q,N,N,100
ELGX,"Endologix, Inc. - Common Stock",Q,N,N,100
ELNK,"EarthLink, Inc. - Common Stock",Q,N,N,100
ELON,Echelon Corporation - Common Stock,Q,N,N,100
ELOS,Syneron Medical Ltd. - Ordinary Shares,Q,N,N,100
ELRC,Electro Rent Corporation - Common Stock,Q,N,N,100
ELSE,"Electro-Sensors, Inc. - Common Stock",S,N,N,100
ELTK,Eltek Ltd. - Ordinary Shares,S,N,N,100
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,G,N,N,100
EMCF,Emclaire Financial Corp - Common Stock,S,N,N,100
EMCG,WisdomTree Emerging Markets Consumer Growth Fund,G,N,N,100
EMCI,"EMC Insurance Group, Inc. - Common Stock",Q,N,N,100
EMDI,iShares MSCI Emerging Markets Consumer Discrectionary Sector Index Fund,G,N,N,100
EMDR,VelocityShares Emerging Markets DR ETF,G,N,N,100
